player_name,player_uid,player_number,team_id,attack,defense,speed,power,stamina,technique,goalkeeping,position
Romero,155,2,6,89,163,106,107,82,125,0,2
Patel,156,36,6,142,90,104,122,187,190,0,3
Herrera,157,22,6,66,97,84,84,113,215,0,4
Khan,158,38,6,139,70,121,78,203,80,0,3
Mendez,159,31,6,142,170,125,203,210,176,0,4
Edwards,160,37,6,139,152,68,188,171,106,0,2
Watson,161,15,6,133,150,167,70,108,117,0,2
Chopra,162,25,6,100,162,110,146,199,164,0,2
Murphy,163,11,6,168,106,136,149,84,125,0,2
Ferrer,164,28,6,57,69,78,177,200,157,0,2
Moore,165,14,6,66,79,180,180,222,95,0,4
Hernandez,166,9,6,91,210,205,230,197,104,0,4
Sharma,167,7,6,135,161,96,148,164,217,0,4
Torres,168,43,6,89,145,120,182,142,114,0,4
Reddy,169,18,6,176,123,193,209,108,114,0,3
Vega,170,26,6,65,163,69,120,89,141,0,3
Garcia,171,44,6,89,160,78,73,197,202,0,3
Kaur,172,41,6,101,120,144,119,187,153,0,2
Holm,173,8,6,151,119,172,164,188,126,0,4
Miller,174,34,6,192,143,60,156,214,186,0,3
Ortega,175,40,6,63,137,183,155,212,91,0,4
Thompson,176,5,6,69,65,122,117,175,76,0,2
Castillo,177,32,6,196,161,108,216,196,179,0,4
Stewart,178,19,6,96,144,151,99,161,213,0,3
Nguyen,179,30,6,87,137,87,128,117,175,0,3
Hansen,180,35,6,192,178,66,168,99,211,0,3
